   1,   1, 0.767624969075391447E-04, 0.000000000000000000E+00
   1,   2,-0.602177703316865496E-05, 0.000000000000000000E+00
   1,   3, 0.553852816328308200E-05, 0.571913844461929472E-05
   1,   4,-0.169856813203500159E-04,-0.184487446989489575E-04
   1,   5, 0.244210697688287577E-05,-0.124911318588643453E-04
   1,   6, 0.188850602672243043E-05, 0.399506721264436014E-05
   2,   1,-0.602177703316865496E-05, 0.000000000000000000E+00
   2,   2, 0.767624969075391447E-04, 0.000000000000000000E+00
   2,   3,-0.553852816328308200E-05,-0.571913844461929302E-05
   2,   4, 0.244210697688287704E-05,-0.124911318588643453E-04
   2,   5,-0.169856813203500159E-04,-0.184487446989489609E-04
   2,   6,-0.188850602672243043E-05,-0.399506721264436014E-05
   3,   1, 0.553852816328308200E-05,-0.571913844461929302E-05
   3,   2,-0.553852816328308200E-05, 0.571913844461929302E-05
   3,   3, 0.991740209427633345E-04, 0.000000000000000000E+00
   3,   4, 0.188851831406298193E-05, 0.399508886716664996E-05
   3,   5,-0.188851831406298193E-05,-0.399508886716665166E-05
   3,   6,-0.170423660043563701E-04,-0.203698397456113120E-04
   4,   1,-0.169856813203500193E-04, 0.184487446989489609E-04
   4,   2, 0.244210697688287958E-05, 0.124911318588643419E-04
   4,   3, 0.188851831406298320E-05,-0.399508886716665335E-05
   4,   4, 0.767625445211270489E-04, 0.000000000000000000E+00
   4,   5,-0.602174582800228878E-05, 0.000000000000000000E+00
   4,   6, 0.553853300542657911E-05,-0.571912264287053704E-05
   5,   1, 0.244210697688287704E-05, 0.124911318588643419E-04
   5,   2,-0.169856813203500193E-04, 0.184487446989489609E-04
   5,   3,-0.188851831406298574E-05, 0.399508886716665335E-05
   5,   4,-0.602174582800228455E-05, 0.000000000000000000E+00
   5,   5, 0.767625445211270489E-04, 0.000000000000000000E+00
   5,   6,-0.553853300542658334E-05, 0.571912264287053788E-05
   6,   1, 0.188850602672243170E-05,-0.399506721264435421E-05
   6,   2,-0.188850602672242662E-05, 0.399506721264435591E-05
   6,   3,-0.170423660043563667E-04, 0.203698397456113120E-04
   6,   4, 0.553853300542659435E-05, 0.571912264287053788E-05
   6,   5,-0.553853300542658334E-05,-0.571912264287053788E-05
   6,   6, 0.991740032847618358E-04, 0.000000000000000000E+00
