   1,   1, 0.767624969075391447E-04, 0.000000000000000000E+00
   1,   2, 0.602177703316867020E-05, 0.000000000000000000E+00
   1,   3, 0.553852816328307691E-05, 0.571913844461929302E-05
   1,   4,-0.184487446989489677E-04, 0.169856813203500091E-04
   1,   5, 0.124911318588643487E-04, 0.244210697688288339E-05
   1,   6, 0.399506721264435929E-05,-0.188850602672242662E-05
   2,   1, 0.602177703316867020E-05, 0.000000000000000000E+00
   2,   2, 0.767624969075391447E-04, 0.000000000000000000E+00
   2,   3, 0.553852816328307691E-05, 0.571913844461929302E-05
   2,   4, 0.124911318588643504E-04, 0.244210697688288085E-05
   2,   5,-0.184487446989489643E-04, 0.169856813203500091E-04
   2,   6, 0.399506721264435929E-05,-0.188850602672242852E-05
   3,   1, 0.553852816328308623E-05,-0.571913844461929302E-05
   3,   2, 0.553852816328308623E-05,-0.571913844461929302E-05
   3,   3, 0.991740209427633345E-04, 0.000000000000000000E+00
   3,   4, 0.399508886716665081E-05,-0.188851831406298087E-05
   3,   5, 0.399508886716665081E-05,-0.188851831406298129E-05
   3,   6,-0.203698397456113289E-04, 0.170423660043563497E-04
   4,   1,-0.184487446989489710E-04,-0.169856813203500125E-04
   4,   2, 0.124911318588643419E-04,-0.244210697688288085E-05
   4,   3, 0.399508886716665335E-05, 0.188851831406298320E-05
   4,   4, 0.767625445211270624E-04, 0.000000000000000000E+00
   4,   5, 0.602174582800226930E-05, 0.000000000000000000E+00
   4,   6, 0.553853300542658927E-05,-0.571912264287053788E-05
   5,   1, 0.124911318588643419E-04,-0.244210697688288085E-05
   5,   2,-0.184487446989489710E-04,-0.169856813203500091E-04
   5,   3, 0.399508886716665335E-05, 0.188851831406298320E-05
   5,   4, 0.602174582800226930E-05, 0.000000000000000000E+00
   5,   5, 0.767625445211270624E-04, 0.000000000000000000E+00
   5,   6, 0.553853300542659859E-05,-0.571912264287053788E-05
   6,   1, 0.399506721264435591E-05, 0.188850602672242662E-05
   6,   2, 0.399506721264435591E-05, 0.188850602672242662E-05
   6,   3,-0.203698397456113222E-04,-0.170423660043563497E-04
   6,   4, 0.553853300542659859E-05, 0.571912264287053788E-05
   6,   5, 0.553853300542659859E-05, 0.571912264287053788E-05
   6,   6, 0.991740032847618629E-04, 0.000000000000000000E+00
